ID	logMb	logRb	minSigma	maxSigma
0.0	8.5	-1.0	3.4508877	9.055518

1.0	8.5	-0.95	3.4999304	8.961156

2.0	8.5	-0.9	3.5488577	8.868062

3.0	8.5	-0.85	3.5976548	8.776446

4.0	8.5	-0.8	3.646307	8.68655

5.0	8.5	-0.75	3.6947966	8.598593

6.0	8.5	-0.7	3.7431045	8.512813

7.0	8.5	-0.65	3.7912083	8.429434

8.0	8.5	-0.6000000000000001	3.8390853	8.348646

9.0	8.5	-0.55	3.8867078	8.270607

10.0	8.5	-0.5	3.934046	8.195425

11.0	8.5	-0.45000000000000007	3.9810672	8.1231365

12.0	8.5	-0.4	4.0277343	8.053703

13.0	8.5	-0.3500000000000001	4.074006	7.987012

14.0	8.5	-0.30000000000000004	4.119838	7.922902

15.0	8.5	-0.2500000000000001	4.16518	7.861101

16.0	8.5	-0.20000000000000007	4.2099767	7.801318

17.0	8.5	-0.15000000000000002	4.254167	7.743211

18.0	8.5	-0.10000000000000009	4.2976837	7.686414

19.0	8.5	-0.050000000000000044	4.3404546	7.6305537

20.0	8.5	-1.1102230246251565e-16	4.3823977	7.575275

21.0	8.5	0.04999999999999982	4.423427	7.520228

22.0	8.5	0.09999999999999987	4.463446	7.46509

23.0	8.5	0.1499999999999999	4.5023527	7.409583

24.0	8.5	0.19999999999999996	4.5400352	7.3534594

25.0	8.5	0.25	4.5763736	7.296506

26.0	8.5	0.2999999999999998	4.611241	7.2385516

27.0	8.5	0.34999999999999987	4.6445017	7.1794596

28.0	8.5	0.3999999999999999	4.676013	7.1191235

29.0	8.5	0.44999999999999996	4.7056246	7.0574737

30.0	8.5	0.4999999999999998	4.733181	6.9944615

31.0	8.5	0.5499999999999998	4.758522	6.9300632

32.0	8.5	0.5999999999999999	4.781484	6.864274

33.0	8.5	0.6499999999999999	4.8019023	6.7971053

34.0	8.5	0.7	4.819612	6.7285805

35.0	8.588235294117647	-1.0	3.5391226	9.143753

36.0	8.588235294117647	-0.95	3.5881658	9.049391

37.0	8.588235294117647	-0.9	3.6370926	8.956297

38.0	8.588235294117647	-0.85	3.68589	8.864681

39.0	8.588235294117647	-0.8	3.734542	8.774785

40.0	8.588235294117647	-0.75	3.7830315	8.686828

41.0	8.588235294117647	-0.7	3.8313391	8.6010475

